StudentId,Gender,Major,Age,Country,Dates,Topic,Sentiment,Feedback,"Graduate Count=IF(C2=""Graduate"",COUNTIF($C$2:C2,""Graduate""),"""")",Undergraduate Count
10590400,Female,Undergraduate,0,Pakistan,1/16/2024,Housing,Negative,Negative experience with housing.   ,,1
20590400,Male,Graduate,25,Brazil,2/1/2024,Housing,Positive,Positive experience with housing.   ,1,
10590401,Female,Undergraduate,21,Malaysia,2/9/2024,Visa Issues,Negative,Negative experience with visa issues.         ,,2
20590401,Male,Graduate,27,Hungary,3/15/2024,Housing,Negative,Negative experience with housing. ,2,
10590402,Female,Undergraduate,19,Nepal,3/22/2024,Housing,Very Positive,Very Positive experience with housing.      ,,3
10590403,Male,Undergraduate,22,United States,4/2/2024,Housing,Very Negative,Very Negative experience with housing.   ,,4
20590402,Female,Graduate,24,New Zealand,4/27/2024,Language Barrier,Positive,Positive experience with language barrier.        ,3,
10590404,Male,Undergraduate,20,Korea,5/1/2024,Job Search,Very Negative,Very Negative experience with job search.     ,,5
20590403,Female,Graduate,26,Nepal,5/6/2024,Tuition,Negative,Negative experience with tuition.        ,4,
10590405,Male,Undergraduate,21,Romania,5/16/2024,Housing,Very Negative,Very Negative experience with housing.        ,,6
20590404,Female,Graduate,23,Malaysia,5/18/2024,Language Barrier,Neutral,Neutral experience with language barrier.       ,5,
10590406,Male,Undergraduate,18,Norway,5/21/2024,Weather,Very Positive,Very Positive experience with weather.   ,,7
20590405,Female,Graduate,29,Korea,6/5/2024,Social Life,Very Positive,Very Positive experience with social life.   ,6,
10590407,Male,Undergraduate,20,Nepal,6/13/2024,Housing,Positive,Positive experience with housing.     ,,8
20590406,Female,Graduate,25,Germany,7/26/2024,Academic Pressure,Very Negative,Very Negative experience with academic pressure. ,7,
10590408,Male,Undergraduate,19,Chile,8/7/2024,Weather,Neutral,Neutral experience with weather.    ,,9
10590409,Female,Undergraduate,22,Russia,10/12/2024,Visa Issues,Positive,Positive experience with visa issues.  ,,10
20590407,Male,Graduate,28,Egypt,8/14/2024,Weather,Very Negative,Very Negative experience with weather.  ,8,
10590410,Female,Undergraduate,20,Ethiopia,9/26/2024,Tuition,Neutral,Neutral experience with tuition.       ,,11
20590408,Male,Graduate,26,Japan,10/10/2024,Social Life,Negative,Negative experience with social life. ,9,
10590411,Female,Undergraduate,19,Canada,10/30/2024,Tuition,Very Positive,Very Positive experience with tuition. ,,12
10590412,Male,Undergraduate,21,Nepal,11/23/2024,Cultural Differences,Neutral,Neutral experience with cultural differences.  ,,13
20590409,Female,Graduate,24,Ethiopia,11/27/2024,Cultural Differences,Very Negative,Very Negative experience with cultural differences.      ,10,
10590413,Male,Undergraduate,18,Greece,12/30/2024,Weather,Positive,Positive experience with weather.     ,,14
20590410,Female,Graduate,27,Japan,1/3/2024,Job Search,Negative,Negative experience with job search.     ,11,
10590414,Male,Undergraduate,20,Vietnam,1/8/2024,Tuition,Very Negative,Very Negative experience with tuition.       ,,15
10590415,Female,Undergraduate,21,Romania,1/11/2024,Visa Issues,Positive,Positive experience with visa issues.        ,,16
20590411,Male,Graduate,25,India,1/22/2024,Housing,Neutral,Neutral experience with housing.   ,12,
10590416,Female,Undergraduate,19,Russia,2/6/2024,Social Life,Very Positive,Very Positive experience with social life.   ,,17
20590412,Male,Graduate,28,Austria,2/7/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.     ,13,
10590417,Female,Undergraduate,20,Czech Republic,2/28/2024,Weather,Neutral,Neutral experience with weather.      ,,18
20590413,Male,Graduate,26,Bangladesh,3/22/2024,Tuition,Positive,Positive experience with tuition.   ,14,
